iter	RMSEWithUncertainty
0	1.608714269
1	1.509322919
2	1.434491915
3	1.375926105
4	1.329841475
5	1.278875295
6	1.201125289
7	1.16210212
8	1.103033588
9	1.057684429
10	1.006605569
11	0.9655412536
12	0.8968419406
13	0.8587705571
14	0.8209840002
15	0.7729148827
16	0.6813554393
17	0.620851732
18	0.5767062849
19	0.496192638
20	0.446409716
21	0.4036677031
22	0.3251840989
23	0.2882706763
24	0.2287332987
25	0.1819340547
26	0.1426150762
27	0.07361572654
28	-0.01814536252
29	-0.06436043447
30	-0.1105664536
31	-0.1574174019
32	-0.2471776532
33	-0.2935781762
34	-0.3681225601
35	-0.4903950116
36	-0.5323274332
37	-0.5731513333
38	-0.6019074154
39	-0.6553372629
40	-0.6969078642
41	-0.7604239656
42	-0.8192941639
43	-0.8774604518
44	-0.9877829966
45	-1.026573668
46	-1.074249376
47	-1.114179495
48	-1.177996812
49	-1.220223039
50	-1.272049267
51	-1.309376199
52	-1.347065672
53	-1.380529412
54	-1.419488912
55	-1.448246958
56	-1.476703539
57	-1.514865331
58	-1.534826113
59	-1.58029521
60	-1.620891846
61	-1.658853898
62	-1.694802197
63	-1.720386089
64	-1.774491244
65	-1.80899147
66	-1.843758196
67	-1.887933404
68	-1.91935067
69	-1.943435813
70	-1.976691504
71	-2.001601726
72	-2.034781102
73	-2.065097345
74	-2.096704116
75	-2.128637408
76	-2.173267882
77	-2.201629969
78	-2.238574794
79	-2.268407351
80	-2.287019576
81	-2.311202381
82	-2.338027321
83	-2.365128153
84	-2.39188514
85	-2.416059382
86	-2.429932379
87	-2.457094217
88	-2.475552151
89	-2.498463043
90	-2.521642074
91	-2.549787837
92	-2.579904533
93	-2.607845613
94	-2.639691518
95	-2.666776272
96	-2.696426515
97	-2.729276208
98	-2.756628283
99	-2.777090613
100	-2.812632325
101	-2.848222423
102	-2.868219863
103	-2.886444486
104	-2.900644066
105	-2.907554983
106	-2.930982203
107	-2.957496447
108	-2.995303497
109	-3.023967482
110	-3.044519322
111	-3.071818175
112	-3.107006021
113	-3.128552715
114	-3.151054533
115	-3.152231755
116	-3.180420452
117	-3.207959392
118	-3.221039191
119	-3.240775221
120	-3.268164976
121	-3.290949137
122	-3.31705554
123	-3.344705261
124	-3.372265911
125	-3.399352127
126	-3.423968919
127	-3.460977238
128	-3.49184737
129	-3.519512346
130	-3.544517871
131	-3.559837191
132	-3.587657388
133	-3.614967039
134	-3.64275144
135	-3.668457941
136	-3.68155368
137	-3.70900267
138	-3.747147424
139	-3.776234581
140	-3.80445156
141	-3.836666327
142	-3.870598871
143	-3.900983897
144	-3.928577565
145	-3.956360432
146	-3.976955132
147	-4.004016836
148	-4.031173668
149	-4.051132588
150	-4.087065978
151	-4.109843705
152	-4.119178797
153	-4.139456291
154	-4.135378066
155	-4.165744534
156	-4.195009717
157	-4.224116172
158	-4.261901595
159	-4.288330774
160	-4.317791818
161	-4.340678493
162	-4.363657036
163	-4.39414032
164	-4.423623209
165	-4.462026411
166	-4.478576542
167	-4.508357705
168	-4.534274739
169	-4.564747958
170	-4.581691033
171	-4.605114859
172	-4.630419426
173	-4.663317781
174	-4.69554126
175	-4.714980488
176	-4.725476547
177	-4.754645621
178	-4.786881796
179	-4.809465355
180	-4.842201525
181	-4.880390049
182	-4.918228201
183	-4.945820418
184	-4.965502766
185	-4.995008653
186	-5.012193977
187	-5.039736975
188	-5.042664228
189	-5.07063173
190	-5.098073887
191	-4.935532868
192	-4.994239309
193	-5.043190691
194	-5.08542139
195	-5.122998878
196	-5.15733333
197	-5.189391079
198	-5.209557978
199	-5.230520124
200	-5.25305704
201	-5.281941421
202	-5.308805801
203	-5.331526685
204	-5.357203185
205	-5.372346974
206	-5.391554531
207	-5.422433439
208	-5.44542512
209	-5.469191891
210	-5.483460959
211	-5.501770624
212	-5.524798264
213	-5.548702955
214	-5.576230614
215	-5.596857612
216	-5.601378417
217	-5.627662822
