iter	Passed	Remaining
0	1	2163
1	2	1307
2	2	1097
3	3	1071
4	4	1063
5	5	998
6	5	906
7	6	987
8	6	921
9	7	893
10	7	856
11	10	1018
12	10	969
13	11	946
14	12	988
15	13	983
16	13	936
17	13	911
18	15	948
19	15	915
20	16	942
21	17	939
22	17	910
23	18	912
24	19	899
25	19	881
26	20	879
27	20	860
28	20	838
29	21	854
30	23	876
31	23	868
32	24	851
33	25	874
34	25	858
35	25	839
36	27	851
37	27	843
38	32	963
39	33	957
40	33	949
41	34	937
42	34	937
43	36	948
44	36	930
45	37	940
46	38	948
47	41	992
48	41	981
49	42	973
50	42	960
51	46	1032
52	49	1061
53	51	1090
54	51	1082
55	61	1254
56	65	1320
57	66	1314
58	67	1306
59	67	1290
60	68	1275
61	70	1293
62	72	1309
63	73	1295
64	73	1279
65	73	1269
66	74	1254
67	75	1254
68	76	1255
69	77	1255
70	78	1255
71	81	1269
72	82	1273
73	83	1276
74	84	1269
75	85	1257
76	85	1244
77	86	1247
78	87	1247
79	91	1286
80	94	1301
81	95	1296
82	95	1286
83	99	1327
84	104	1366
85	104	1354
86	105	1350
87	113	1432
88	114	1423
89	114	1413
90	115	1412
91	124	1498
92	125	1491
93	126	1489
94	127	1482
95	128	1479
96	129	1469
97	129	1455
98	130	1447
99	130	1437
100	131	1434
101	132	1425
102	132	1415
103	133	1408
104	134	1401
105	134	1390
106	135	1381
107	136	1378
108	137	1372
109	138	1370
110	139	1363
111	156	1518
112	156	1509
113	159	1515
114	159	1503
115	161	1508
116	169	1566
117	177	1627
118	178	1625
119	181	1629
120	181	1618
121	182	1610
122	183	1603
123	184	1599
124	185	1595
125	189	1614
126	190	1612
127	193	1617
128	193	1605
129	197	1624
130	201	1645
131	202	1635
132	204	1640
133	208	1658
134	209	1650
135	213	1669
136	213	1660
137	218	1681
138	222	1699
139	223	1693
140	224	1685
141	224	1676
142	225	1668
143	226	1661
144	228	1663
145	229	1654
146	229	1647
147	231	1643
148	231	1636
149	232	1626
150	236	1641
151	236	1632
152	238	1630
153	238	1620
154	238	1611
155	247	1653
156	262	1744
157	270	1784
158	271	1780
159	274	1781
160	274	1772
161	280	1796
162	281	1789
163	285	1804
164	289	1819
165	290	1812
166	292	1807
167	300	1846
168	304	1859
169	309	1872
170	311	1874
171	312	1869
172	314	1864
173	316	1863
174	316	1855
175	318	1850
176	326	1885
177	334	1920
178	335	1913
179	336	1906
180	336	1896
181	337	1888
182	338	1878
183	340	1878
184	342	1877
185	344	1877
186	345	1870
187	347	1869
188	348	1864
189	350	1863
190	352	1862
191	353	1853
192	355	1853
193	357	1852
194	361	1861
195	363	1861
196	365	1861
197	367	1861
198	368	1854
199	369	1847
200	369	1838
201	370	1829
202	371	1824
203	372	1819
204	373	1814
205	374	1807
206	375	1799
207	375	1792
208	376	1785
209	378	1784
210	379	1776
211	381	1775
212	381	1769
213	383	1765
214	385	1764
215	386	1760
216	387	1755
217	395	1780
218	395	1772
219	397	1769
220	401	1777
221	402	1774
222	403	1769
223	404	1762
224	404	1753
225	405	1749
226	408	1749
227	409	1744
228	410	1740
229	411	1734
230	412	1728
231	412	1722
232	413	1715
233	413	1708
234	415	1704
235	417	1703
236	417	1697
237	418	1691
238	420	1690
239	424	1697
240	424	1690
241	425	1684
242	426	1678
243	427	1675
244	429	1674
245	433	1681
246	435	1682
247	437	1678
248	439	1677
249	441	1677
250	441	1671
251	443	1667
252	445	1666
253	445	1660
254	453	1681
255	454	1675
256	458	1681
257	460	1682
258	464	1688
259	467	1688
260	469	1688
261	469	1681
262	470	1677
263	473	1677
264	473	1671
265	474	1667
266	476	1666
267	478	1665
268	479	1659
269	479	1652
270	487	1671
271	490	1672
272	492	1671
273	493	1667
274	494	1663
275	495	1657
276	496	1653
277	505	1675
278	506	1672
279	507	1667
280	508	1663
281	512	1668
282	516	1675
283	521	1680
284	522	1677
285	524	1676
286	525	1673
287	526	1666
288	527	1662
289	535	1679
290	535	1673
291	539	1679
292	542	1678
293	544	1677
294	545	1674
295	546	1670
296	549	1669
297	553	1674
298	554	1670
299	558	1675
300	558	1669
301	560	1665
302	560	1659
303	561	1654
304	562	1649
305	562	1643
306	564	1642
307	566	1641
308	567	1636
309	568	1631
310	570	1629
311	571	1626
312	572	1621
313	572	1616
314	575	1615
315	577	1614
316	577	1609
317	579	1608
318	580	1604
319	582	1600
320	583	1597
321	585	1595
322	587	1594
323	588	1591
324	590	1590
325	591	1585
326	591	1580
327	593	1576
328	594	1573
329	594	1567
330	596	1566
331	597	1562
332	598	1559
333	602	1562
334	604	1560
335	608	1565
336	609	1562
337	612	1561
338	612	1555
339	612	1549
340	613	1546
341	615	1543
342	616	1541
343	619	1541
344	621	1540
345	621	1534
346	622	1531
347	624	1527
348	628	1532
349	630	1531
350	631	1527
351	632	1524
352	633	1519
353	633	1515
354	634	1510
355	635	1506
356	636	1503
357	636	1498
358	637	1493
359	638	1489
360	639	1486
361	641	1485
362	642	1481
363	644	1480
364	646	1478
365	647	1474
366	648	1470
367	649	1467
368	649	1463
369	650	1458
370	650	1454
371	651	1449
372	659	1461
373	660	1457
374	660	1453
375	664	1456
376	665	1453
377	667	1450
378	669	1449
379	669	1445
380	670	1440
381	670	1436
382	671	1432
383	672	1428
384	673	1424
385	677	1428
386	680	1429
387	680	1424
388	680	1419
389	681	1415
390	682	1411
391	684	1410
392	686	1409
393	687	1406
394	689	1405
395	691	1404
396	693	1402
397	695	1401
398	696	1399
399	700	1401
400	705	1405
401	705	1400
402	706	1397
403	707	1393
404	711	1396
405	712	1393
406	716	1396
407	718	1394
408	720	1393
