iter	RMSEWithUncertainty
0	1.781455642
1	1.76689405
2	1.641313674
3	1.511997028
4	1.446540419
5	1.407202352
6	1.356526188
7	1.26645615
8	1.139388637
9	0.9846333477
10	0.8719644579
11	0.8049465113
12	0.751376032
13	0.6940118071
14	0.6790495223
15	0.6554254592
16	0.6204759
17	0.594972029
18	0.5859679766
19	0.4934306893
20	0.4703283295
21	0.4572567976
22	0.4319522035
23	0.4158395578
24	0.4127901179
25	0.4096146215
26	0.3930061225
27	0.3751068095
28	0.3332463251
29	0.3093500446
30	0.2572678161
31	0.2176859886
32	0.1965796524
33	0.1450352101
34	0.1069532126
35	0.07803656386
36	0.03486014528
37	0.01741025077
38	-0.006550679594
39	-0.02447214543
40	-0.04051406591
41	-0.06784730026
42	-0.1068980664
43	-0.1280981212
44	-0.1475027125
45	-0.1705235553
46	-0.1981775723
47	-0.2001646128
48	-0.2156456045
49	-0.2206622205
50	-0.220868255
51	-0.2349794247
52	-0.2677920302
53	-0.2779217998
54	-0.318369089
55	-0.3394945326
56	-0.3514456233
57	-0.3552960212
58	-0.3595526385
59	-0.3640699535
60	-0.3845013657
61	-0.4018914126
62	-0.3862708145
63	-0.3972962017
64	-0.3972799842
65	-0.4127188682
66	-0.4273636604
67	-0.4313459799
68	-0.4370906083
69	-0.4488868594
70	-0.4513426374
71	-0.4673361852
72	-0.487819417
73	-0.4939519355
74	-0.5051766156
75	-0.5060878465
76	-0.5138950986
77	-0.5174457677
78	-0.5111870575
79	-0.5109674034
80	-0.5108293767
81	-0.5350444096
82	-0.536088334
83	-0.5428335927
84	-0.5511380903
85	-0.5594801701
86	-0.5715886311
87	-0.5744694049
88	-0.5832509527
89	-0.588277676
90	-0.592008336
91	-0.5953214053
92	-0.5623809011
93	-0.5907377458
94	-0.5703611766
95	-0.5762276519
96	-0.5481887534
97	-0.5688305943
98	-0.5866099817
99	-0.6080332983
100	-0.6078624293
101	-0.6028911125
102	-0.6096071933
103	-0.6057678124
104	-0.5944744792
105	-0.6158545578
106	-0.6100681567
107	-0.61910879
108	-0.6522385679
109	-0.6504333741
110	-0.6557266759
111	-0.6857688947
112	-0.6728796485
113	-0.674262965
114	-0.6841386924
115	-0.6849510112
116	-0.6843403377
117	-0.7010323772
118	-0.7162351048
119	-0.7195661903
120	-0.7281781673
121	-0.7150928175
122	-0.6794365123
123	-0.7081173973
124	-0.7110451676
125	-0.6843343065
126	-0.7066465961
127	-0.7085444964
128	-0.7387997816
129	-0.7473954674
130	-0.7591100852
131	-0.7640300577
132	-0.7615709831
133	-0.7815440926
134	-0.8463342156
135	-0.8662271948
136	-0.8775799799
137	-0.9462640742
138	-0.963719121
139	-0.9675556001
140	-0.9761954255
141	-0.9791446553
142	-0.9785370452
143	-0.9529743463
144	-0.9609850138
145	-0.9445550542
146	-0.9530881287
147	-0.9619060272
148	-0.9813280405
149	-0.9893925212
150	-1.017443132
151	-1.009037721
152	-1.013880042
153	-1.021861559
154	-1.027806121
155	-1.041473005
156	-0.999158267
157	-1.009412686
158	-1.005265948
159	-1.019053544
160	-1.020827994
161	-1.030312251
162	-1.027827146
163	-1.024856043
164	-1.035326224
165	-1.051589195
166	-1.060342564
167	-1.058345708
168	-1.007197644
169	-1.039724353
170	-1.041975544
171	-1.03572105
172	-1.039471234
173	-1.069172824
174	-1.071692732
175	-1.060392906
176	-1.069917675
177	-1.091032709
178	-1.106827375
179	-1.097094397
180	-1.115236337
181	-1.116045562
182	-1.11290249
183	-0.9679366987
184	-1.037169398
185	-1.072931136
186	-1.084739049
