iter	Passed	Remaining
0	0	41
1	0	26
2	0	25
3	0	26
4	0	26
5	0	24
6	0	24
7	0	24
8	0	24
9	0	24
10	0	24
11	1	24
12	1	24
13	1	24
14	1	23
15	1	23
16	1	23
17	1	23
18	1	23
19	1	23
20	1	23
21	1	22
22	1	22
23	1	22
24	1	21
25	2	21
26	2	21
27	2	21
28	2	21
29	2	21
30	2	21
31	2	21
32	2	21
33	2	21
34	2	21
35	2	21
36	3	21
37	3	21
38	3	21
39	3	21
40	3	21
41	3	20
42	3	20
43	3	20
44	3	20
45	3	20
46	3	20
47	3	20
48	3	20
49	4	20
50	4	19
51	4	19
52	4	19
53	4	19
54	4	19
55	4	19
56	4	19
57	4	19
58	4	19
59	4	19
60	4	19
61	4	19
62	5	19
63	5	18
64	5	18
65	5	18
66	5	18
67	5	18
68	5	18
69	5	18
70	5	18
71	5	18
72	5	18
73	5	17
74	5	17
75	6	17
76	6	17
77	6	17
78	6	17
79	6	17
80	6	17
81	6	16
82	6	16
83	6	16
84	6	16
85	6	16
86	6	16
87	6	16
88	6	16
89	6	16
90	7	16
91	7	16
92	7	15
93	7	15
94	7	15
95	7	15
96	7	15
97	7	15
98	7	15
99	7	15
100	7	15
101	7	15
102	8	15
103	8	15
104	8	15
105	8	15
106	8	14
107	8	14
108	8	14
109	8	14
110	8	14
111	8	14
112	8	14
113	8	14
114	8	14
115	8	14
116	8	13
117	8	13
118	9	13
119	9	13
120	9	13
121	9	13
122	9	13
123	9	13
124	9	13
125	9	13
126	9	13
127	9	13
128	9	12
129	9	12
130	9	12
131	10	12
132	10	12
133	10	12
134	10	12
135	10	12
136	10	12
137	10	12
138	10	12
139	10	12
140	10	12
141	10	11
142	10	11
143	10	11
144	10	11
145	10	11
146	10	11
147	11	11
148	11	11
149	11	11
150	11	11
151	11	11
152	11	11
153	11	10
154	11	10
155	11	10
156	11	10
157	11	10
158	11	10
159	12	10
160	12	10
161	12	10
162	12	10
163	12	10
164	12	10
165	12	10
166	12	10
167	12	9
168	12	9
169	12	9
170	12	9
171	12	9
172	13	9
173	13	9
174	13	9
175	13	9
176	13	9
177	13	9
178	13	9
179	13	9
180	13	9
181	13	8
182	13	8
183	13	8
184	14	8
185	14	8
186	14	8
187	14	8
188	14	8
189	14	8
190	14	8
191	14	8
192	14	8
193	14	8
194	14	7
195	14	7
196	14	7
197	14	7
198	15	7
199	15	7
200	15	7
201	15	7
202	15	7
203	15	7
204	15	7
205	15	7
206	15	7
207	15	6
208	15	6
209	15	6
210	15	6
211	16	6
212	16	6
213	16	6
214	16	6
215	16	6
216	16	6
217	16	6
218	16	6
219	16	6
220	16	5
221	16	5
222	16	5
223	16	5
224	17	5
225	17	5
226	17	5
227	17	5
228	17	5
229	17	5
230	17	5
231	17	5
232	17	5
233	17	5
234	17	4
235	17	4
236	17	4
237	18	4
238	18	4
239	18	4
240	18	4
241	18	4
242	18	4
243	18	4
244	18	4
245	18	4
246	18	4
247	18	3
248	18	3
249	18	3
250	18	3
251	19	3
252	19	3
253	19	3
254	19	3
255	19	3
256	19	3
257	19	3
258	19	3
259	19	3
260	19	2
261	19	2
262	19	2
263	19	2
264	20	2
265	20	2
266	20	2
267	20	2
268	20	2
269	20	2
270	20	2
271	20	2
272	20	2
273	20	1
274	20	1
275	20	1
276	21	1
277	21	1
278	21	1
279	21	1
280	21	1
281	21	1
282	21	1
283	21	1
284	21	1
285	21	1
286	21	0
287	21	0
288	21	0
289	21	0
290	21	0
291	22	0
292	22	0
293	22	0
294	22	0
295	22	0
296	22	0
297	22	0
298	22	0
299	22	0
