iter	RMSEWithUncertainty
0	3.828446579
1	3.778821957
2	3.727790584
3	3.693062222
4	3.655444787
5	3.605168018
6	3.531450695
7	3.498947996
8	3.4516015
9	3.421968467
10	3.358986806
11	3.337682298
12	3.313035584
13	3.276883092
14	3.250354997
15	3.213170266
16	3.184326782
17	3.13609979
18	3.105036207
19	3.078048345
20	3.051970751
21	3.028965089
22	2.966452851
23	2.914444904
24	2.88663665
25	2.849645193
26	2.802906414
27	2.753584862
28	2.724435026
29	2.694863637
30	2.662024475
31	2.621668334
32	2.580850162
33	2.553106304
34	2.521042197
35	2.480193207
36	2.444767668
37	2.409834967
38	2.388149747
39	2.354779979
40	2.336363597
41	2.305386671
42	2.284012488
43	2.249337688
44	2.215410486
45	2.165220714
46	2.150124067
47	2.132662941
48	2.113479298
49	2.081479874
50	2.059338404
51	2.013398453
52	1.970298664
53	1.951182032
54	1.933914342
55	1.901733774
56	1.883388426
57	1.863233864
58	1.843166934
59	1.829647927
60	1.810961119
61	1.795463445
62	1.781042623
63	1.756045269
64	1.726847174
65	1.696138168
66	1.66941967
67	1.650132746
68	1.636049599
69	1.617291841
70	1.589601513
71	1.566253486
72	1.554167174
73	1.537818703
74	1.518340768
75	1.502239809
76	1.491154343
77	1.470151253
78	1.466062221
79	1.454581836
80	1.436985094
81	1.421436058
82	1.399638149
83	1.381269692
84	1.367135063
85	1.350943357
86	1.337813793
87	1.324390079
88	1.31710232
89	1.299039039
90	1.287079224
91	1.284269227
92	1.265873926
93	1.253895308
94	1.238426515
95	1.223843216
96	1.207559238
97	1.200324635
98	1.185141087
99	1.177541589
100	1.160660334
101	1.152200607
102	1.132012665
103	1.119862247
104	1.125641636
105	1.109480528
106	1.09945471
107	1.099323864
108	1.089805437
109	1.084508505
110	1.078925548
111	1.068964538
112	1.05351064
113	1.035341948
114	1.020542547
115	1.01097416
116	0.9945457342
117	0.9909444928
118	0.9804781257
119	0.9683174431
120	0.9585672654
121	0.9434189094
122	0.9390551689
123	0.9291281812
124	0.922768525
125	0.9082619687
126	0.8991921647
127	0.8913304411
128	0.8750718561
129	0.866837281
130	0.8568365949
131	0.8416872536
132	0.8303149273
133	0.8188962306
134	0.8018105851
135	0.7961763412
136	0.7886909965
137	0.7762216316
138	0.7629708241
139	0.7620917675
140	0.7574399731
141	0.7629206282
142	0.7501965451
143	0.7469893879
144	0.7411973279
145	0.7294798525
146	0.7186615467
147	0.7130778362
148	0.7009508501
149	0.6913721248
150	0.6802500597
151	0.6728135101
152	0.6575611869
153	0.6532993934
154	0.6414111866
155	0.6310647566
156	0.6258830105
157	0.6218725072
158	0.6187549232
159	0.6220696757
160	0.6084795033
161	0.5976240295
162	0.605618323
163	0.5982826813
164	0.5956201833
165	0.6066430349
166	0.5937109894
167	0.5862232251
168	0.5776302058
169	0.5642603983
170	0.5616619001
171	0.5517420418
172	0.5386851352
173	0.5359112425
174	0.5360872186
175	0.527545347
176	0.5217471978
177	0.5208137567
178	0.5078427424
179	0.4970734771
180	0.4920538359
181	0.4937949095
182	0.4893293916
183	0.4748992774
184	0.4634873444
185	0.4530952523
186	0.4512333468
187	0.4381771607
188	0.4405832424
189	0.4385825706
190	0.4364390013
191	0.428794353
192	0.4212567317
193	0.4131230769
194	0.4077665636
195	0.3947094751
196	0.3874281433
197	0.3764720389
198	0.3748592147
199	0.363328682
200	0.3575702866
201	0.3488176729
202	0.3447968258
203	0.3343726791
204	0.3210995219
205	0.3144757115
206	0.3192833076
207	0.308239471
208	0.2968588659
209	0.2886104881
210	0.2794624368
211	0.2673545339
212	0.2575521123
213	0.2435592594
214	0.2350736697
215	0.2256366671
216	0.2188082271
217	0.2175939299
218	0.2080091807
219	0.2081321409
220	0.1956825159
221	0.1967341593
222	0.192443952
223	0.1935466861
224	0.1824383833
225	0.1720551756
226	0.1641986797
227	0.174070464
228	0.1750153113
229	0.1702608632
230	0.1574789928
231	0.1457542057
232	0.1416801129
233	0.1325984571
234	0.1247947019
235	0.118370122
236	0.1082022351
237	0.09628244412
238	0.08631562637
239	0.08168766425
240	0.0807673107
241	0.07759738578
242	0.06532232677
243	0.05371740272
244	0.04899772759
245	0.03748194648
246	0.02809048822
247	0.01923353973
248	0.007048220369
249	-0.003496623108
250	-0.01748962124
251	-0.01307231933
252	-0.02383237177
