iter	Passed	Remaining
0	0	302
1	4	2675
2	8	3433
3	110	32928
4	136	32697
5	139	27826
6	140	23889
7	230	34273
8	230	30504
9	242	28805
10	242	26203
11	331	32822
12	415	37957
13	416	35312
14	508	40202
15	508	37664
16	509	35471
17	510	33495
18	510	31709
19	516	30452
20	620	34834
21	631	33796
22	631	32310
23	631	30953
24	633	29791
25	633	28623
26	634	27561
27	634	26559
28	636	25684
29	636	24809
30	636	24011
31	637	23275
32	639	22608
33	639	21926
34	640	21315
35	640	20708
36	641	20151
37	641	19606
38	694	20683
39	695	20170
40	716	20256
41	717	19788
42	754	20314
43	756	19880
44	757	19436
45	757	19005
46	847	20786
47	885	21240
48	895	21037
49	896	20608
50	904	20386
51	905	19981
52	905	19594
53	957	20311
54	1047	21806
55	1047	21399
56	1057	21210
57	1062	20928
58	1082	20933
59	1120	21292
60	1131	21122
61	1221	22425
62	1313	23705
63	1314	23330
64	1314	22952
65	1314	22588
66	1314	22236
67	1316	21918
68	1404	23018
69	1404	22670
70	1405	22344
71	1405	22020
72	1492	23034
73	1492	22710
74	1493	22403
75	1493	22092
76	1493	21786
77	1499	21573
78	1499	21283
79	1589	22250
80	1593	22011
81	1596	21767
82	1596	21487
83	1597	21225
84	1607	21090
85	1608	20829
86	1611	20611
87	1611	20360
88	1611	20118
89	1612	19885
90	1612	19651
91	1612	19422
92	1612	19199
93	1613	18982
94	1701	19792
95	1702	19575
96	1788	20336
97	1788	20111
98	1794	19957
99	1881	20692
100	1881	20471
101	1893	20382
102	1894	20179
103	1895	19971
104	1895	19763
105	1914	19755
106	1915	19562
107	1915	19365
108	1915	19171
109	1915	18981
110	1915	18794
111	1917	18630
112	2006	19298
113	2006	19115
114	2095	19771
115	2095	19585
116	2115	19584
117	2115	19401
118	2205	20033
119	2244	20201
120	2245	20026
121	2331	20602
122	2331	20417
123	2333	20249
124	2333	20072
125	2335	19903
126	2335	19732
127	2335	19563
128	2336	19397
129	2336	19234
130	2337	19077
131	2356	19069
132	2446	19623
133	2549	20280
134	2552	20136
135	2552	19971
136	2639	20478
137	2640	20320
138	2643	20179
139	2643	20018
140	2644	19862
141	2644	19705
142	2734	20214
143	2735	20060
144	2735	19904
145	2827	20411
146	2870	20562
147	2870	20404
148	2872	20259
149	2872	20110
150	2894	20108
151	2899	19993
152	2899	19844
153	2900	19698
154	2900	19557
155	2906	19450
156	2906	19308
157	2906	19169
158	2906	19031
159	2907	18895
160	2926	18883
161	2946	18882
162	2947	18749
163	2990	18890
164	2990	18758
165	2990	18628
166	3078	19043
167	3080	18923
168	3080	18795
169	3179	19261
170	3179	19131
171	3179	19004
172	3179	18877
173	3180	18751
174	3180	18627
175	3265	18998
176	3267	18883
177	3267	18762
178	3305	18856
179	3316	18795
180	3318	18683
181	3318	18563
182	3319	18446
183	3414	18855
184	3501	19212
185	3505	19108
186	3505	18990
187	3594	19346
188	3594	19226
