iter	Passed	Remaining
0	49	14937
1	50	7467
2	50	4983
3	50	3740
4	50	2989
5	50	2488
6	50	2132
7	51	1864
8	51	1655
9	51	1488
10	51	1350
11	51	1235
12	51	1138
13	51	1055
14	51	983
15	51	920
16	51	864
17	52	815
18	52	771
19	52	731
20	52	695
21	52	662
22	52	632
23	52	605
24	52	579
25	52	556
26	52	535
27	53	515
28	53	496
29	53	479
30	53	462
31	53	447
32	53	433
33	53	419
34	53	406
35	53	394
36	53	383
37	53	372
38	54	362
39	54	352
40	54	343
41	54	334
42	54	325
43	54	317
44	54	309
45	54	302
46	54	295
47	54	288
48	55	281
49	55	275
50	55	269
51	55	264
52	55	258
53	55	253
54	55	248
55	55	243
56	56	238
57	56	234
58	56	229
59	56	225
60	56	221
61	56	217
62	56	213
63	56	209
64	57	206
65	57	202
66	57	199
67	57	195
68	57	192
69	57	189
70	57	185
71	57	182
72	57	179
73	57	177
74	58	174
75	58	171
76	58	168
77	58	166
78	58	163
79	58	161
80	58	158
81	58	156
82	58	153
83	58	151
84	59	149
85	59	147
86	59	145
87	59	142
88	59	140
89	59	138
90	59	136
91	59	134
92	59	133
93	59	131
94	59	129
95	60	127
96	60	126
97	60	124
98	60	122
99	60	121
100	60	119
101	60	118
102	60	116
103	60	114
104	61	113
105	61	111
106	61	110
107	61	109
108	61	107
109	61	106
110	61	104
111	61	103
112	61	102
113	61	101
114	62	99
115	62	98
116	62	97
117	62	96
118	62	94
119	62	93
120	62	92
121	62	91
122	62	90
123	62	89
124	62	88
125	63	87
126	63	86
127	63	85
128	63	84
129	63	83
130	63	82
131	63	81
132	63	80
133	63	79
134	64	78
135	64	77
136	64	76
137	64	75
138	64	74
139	64	73
140	64	73
141	64	72
142	65	71
143	65	70
144	65	69
145	65	69
146	65	68
147	65	67
148	65	66
149	65	65
150	66	65
151	66	64
152	66	63
153	66	62
154	66	62
155	66	61
156	66	60
157	66	60
158	66	59
159	66	58
160	67	57
161	67	57
162	67	56
163	67	55
164	67	55
165	67	54
166	67	53
167	67	53
168	67	52
169	67	51
170	68	51
171	68	50
172	68	50
173	68	49
174	68	48
175	68	48
176	68	47
177	68	47
178	68	46
179	68	45
180	69	45
181	69	44
182	69	44
183	69	43
184	69	43
185	69	42
186	69	42
187	69	41
188	69	41
189	69	40
190	70	39
191	70	39
192	70	38
193	70	38
194	70	37
195	70	37
196	70	36
197	70	36
198	71	36
199	71	35
200	71	35
201	71	34
202	71	34
203	71	33
204	71	33
205	71	32
206	71	32
207	71	31
208	72	31
209	72	30
210	72	30
211	72	29
212	72	29
213	72	29
214	72	28
215	72	28
216	72	27
217	72	27
218	72	26
219	72	26
220	73	26
221	73	25
222	73	25
223	73	24
224	73	24
225	73	24
226	73	23
227	73	23
228	73	22
229	73	22
230	73	22
231	74	21
232	74	21
233	74	20
234	74	20
235	74	20
236	74	19
237	74	19
238	74	19
239	74	18
240	74	18
241	74	17
242	74	17
243	75	17
244	75	16
245	75	16
246	75	16
247	75	15
248	75	15
249	75	15
250	75	14
251	75	14
252	75	14
253	75	13
254	75	13
255	75	13
256	76	12
257	76	12
258	76	12
259	76	11
260	76	11
261	76	11
262	76	10
263	76	10
264	76	10
265	76	9
266	77	9
267	77	9
268	77	8
269	77	8
270	77	8
271	77	7
272	77	7
273	77	7
274	77	7
275	77	6
276	77	6
277	77	6
278	77	5
279	78	5
280	78	5
281	78	4
282	78	4
283	78	4
284	78	4
285	78	3
286	78	3
287	78	3
288	78	3
289	78	2
290	79	2
291	79	2
292	79	1
293	79	1
294	79	1
295	79	1
296	79	0
297	79	0
298	79	0
299	79	0
